AEP,Mass,Fatigue,Method
232.11600697977303,9781.292131763032,125.15487744745224,GA
232.08227275826255,9715.362293848046,126.96357754198694,GA
231.97710649543018,9898.384125226688,121.97743323942127,GA
231.86482722414334,9594.020166472423,130.10944310908894,GA
231.8640028224871,9772.59459670647,125.26200684574205,GA
231.84585278349724,9613.482357097113,129.73434604525482,GA
231.81389141755278,9700.83816988197,128.17625172371805,GA
231.79900256897722,9621.31693458705,129.09594123272225,GA
231.77484917058618,9647.905556439599,128.4507390204278,GA
231.74249252997868,9653.359466384838,128.18821733994326,GA
231.72015898332756,9718.787764748951,126.65178130614169,GA
231.65432953029563,9660.868020110831,127.86484011657737,GA
231.56051649934562,9841.413300114235,123.08152929652779,GA
231.52138977507363,9594.052162948065,129.42016647279067,GA
231.48260566833554,9665.035932083249,127.43213143024899,GA
231.4763658213487,9676.485937246352,127.08998860799834,GA
231.43970777085502,9588.67465928069,129.45062399389053,GA
231.43238172676516,9887.108119927405,121.83651396744601,GA
231.38982536227817,9600.053005707308,129.22014129896576,GA
231.37521079585164,9534.770354074912,131.07310410386242,GA
231.36465254627572,9835.974956205759,122.77547440494276,GA
231.33455940695592,9566.619242582197,130.04635122642455,GA
231.29066045219176,9829.692445164905,122.9744742480245,GA
231.28010127948667,9863.30600729295,122.00002389229292,GA
231.2763363694485,9728.16708808308,125.75554327473502,GA
231.24195889734537,9517.388611561899,131.1675580748108,GA
231.191331422489,9644.246149826346,129.0731855132042,GA
231.11307834016827,9890.508537333088,121.17931987166283,GA
231.0762354883027,9530.906229815495,130.5754281210555,GA
231.0355934152628,9820.273259322026,122.80220758158798,GA
231.0251514632886,9887.805086417891,121.48659943728936,GA
231.0204038231114,9522.868196761181,130.75782588460004,GA
231.01539997811653,9829.822641105171,122.64716591134582,GA
230.8096042855933,9561.05549866938,129.680737855734,GA
230.80514091446466,9846.561636079798,121.89833316393403,GA
230.79547345873323,9479.848792685365,131.83703625969738,GA
230.7790116548986,9613.647311486962,127.83323039258418,GA
230.74032442284397,9718.820308052234,126.36099789579242,GA
230.735416387007,9641.11098363131,127.42458007338173,GA
230.71599034860208,9769.171424726093,123.58353288484113,GA
230.69967334766545,9515.322673206867,130.44725095954007,GA
230.68033223485352,9882.749850454104,120.96368483643425,GA
230.66525356721618,9550.467738623804,129.94629425280715,GA
230.64786565654876,9749.35919204105,124.04864835689119,GA
230.63698017556402,9586.351272314983,128.42434933250016,GA
230.53468013946758,9856.167657334105,121.11687539399824,GA
230.42543517306845,9573.793405804556,128.70865653628618,GA
230.4081194391649,9641.714993571692,126.66407129467368,GA
230.39655022840816,9787.3991332746,122.88292463503157,GA
230.3486076677657,9648.849978202177,126.37006882094143,GA
230.3398113642759,9734.925272380098,124.17160138799834,GA
230.32357293679206,9825.381521843668,121.78112794156378,GA
230.30665310066703,9474.91966247893,131.0381414317939,GA
230.28884169505636,9741.033645234389,124.05376508637481,GA
230.28384675148928,9585.587386284407,128.17061227470072,GA
230.28303677908596,9686.95884687207,125.88857763233396,GA
230.26618080187154,9767.640370183892,123.29348239397467,GA
